_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
80,Al-Hijra,878090,,Waheeda Khan,,,5100 Howard Ave,Old Castle,Ontario,N9H0M3,519-966-8276,519-966-0846,West Region,principal@alhijraacademy.com,www.alhijraacademy.com,Elementary,Not applicable,Site based only,No Association Membership
81,Al-Ikhlaas Foundation School,886011,Offers credits toward the Ontario Secondary School Diploma (OSSD),Asha Mohamed,,,2050 KIPLING AVE,Etobicoke,Ontario,M9W4J9,647-829-9631,,Central Region,alikhlaasfoundationschool@hotmail.com,,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
82,Al-Iman School,876585,,Syyed Ali,,,12 Beech Street,Brampton,Ontario,L6V1V1,905-799-9231,,Central Region,islamicprivate1@gmail.com,www.alimanschool.ca,Elementary,Not applicable,Site based only,Ontario Association of Islamic Schools (OAIS)
83,Al-Madrasah Al-Inamiyyah Private School,876003,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdul Khan,,,3665 Lawrence Avenue East,Scarborough,Ontario,M1G1P7,416-298-4008,905-686-4428,East Region,mariyahschool@yahoo.com,,Secondary,Not applicable,Site based only,No Association Membership
84,Al-Mahdi Learning Institute,669809,,Zeinab Saleh,,,8333 Willoughby Drive,Niagara Falls,Ontario,L2G6X4,905-325-1400,,West Region,info@almahdilearninginstitute.ca,info@almahdilearninginstitute.ca,Elementary,Not applicable,Site based only,No Association Membership
85,Al-Qasim Academy,667350,,Abrar Ahmed Koya,208,,3482 Lawrence Ave East,Scarborough,Ontario,M1H3E5,416-431-2589,416-431-0904,East Region,jquloomcomp@gmail.com,jquloom.ca,Elementary,Not applicable,Online/Site Based,No Association Membership
86,Al-Risala Academy,665670,Offers credits toward the Ontario Secondary School Diploma (OSSD),NADIM ALWAN,15,,1224 Dundas Street E,MISSISSAUGA,Ontario,L4Y4A2,905-232-8436,905-248-1155,Central Region,info@alrisalaacademy.com,http://www.alrisalaacademy.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
87,Al-Sadeq Academy,669858,,Nadia Jomaa-Khachab,,,1485 Janette Avenue,Windsor,Ontario,N8X1Z2,519-256-7171,,West Region,alsadeqacademy@gmail.com,www.alsadeqacademy.com,Elementary,Not applicable,Site based only,No Association Membership
88,Al-Taqwa Academy,665037,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sally Kaloti,,,1837 Churchill Ave.,London,Ontario,N5W2L3,519-951-1414,519-601-5566,West Region,ischool@altaqwa.org,www.altaqwa.org,Elem/Sec,Not applicable,Site based only,No Association Membership
89,Alathena International Academy,669761,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,118,,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-756-3338,416-756-3328,East Region,smnhuynh@gmail.com,www.alathena.com,Secondary,All Year Round,Online/Site Based,No Association Membership
90,Alathena International Academy - North Y,881704,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,110,,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-390-9666,416-390-9666,East Region,info@alathenaschool.com,www.alathenaschool.com,Secondary,All Year Round,Online/Site Based,No Association Membership
91,Alathena International Elementary School,883648,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,112,,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-385-8886,,East Region,info@alathenaschool.com,www.alathenaschool.com,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
92,Albert College,885126,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Musca,,,160 Dundas St W,Belleville,Ontario,K8P1A6,613-968-5726,613-968-9651,East Region,info@albertcollege.ca,www.albertcollege.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
93,Alborz Education Centre,666998,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zahra Hemmati,2,,20 Tangreen Crt.,Toronto,Ontario,M2M3Y9,416-221-1443,647-342-0375,Central Region,info@alborzschool.com,www.alborzschool.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
94,Alfajrul Bassem Academy,669480,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dania Wattar,100,,700 Kerr St,Oakville,Ontario,L6K3W5,905-514-9995,905-296-5685,Central Region,info@alfajrulbassem.com,alfajrulbassem.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
95,Algonquin Academy,886341,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yasir Nasir,2110,,115 Hillcrest ave,Mississauga,Ontario,L5B3Y9,647-409-8972,,Central Region,yasirnasir5@hotmail.com,algonquinonline.ca,Secondary,All Year Round,Online Only,No Association Membership
96,Alhidayah School,665793,,Lina Alshelh,2nd flr,,2250 Sheppard Ave W,North York,Ontario,M9M1L7,647-554-3215,,Toronto Region,info@alhidayah.ca,,Elementary,Not applicable,Site based only,No Association Membership
97,Alive Montessori & Private School,883467,,Julia Simon,,,2 Wembley Road,Toronto,Ontario,M6C2E9,647-990-7323,,Toronto Region,aliveprivateschool@gmail.com,aliveprivateschool.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
98,Alliston Community Christian School,881724,,David Geertsema,,,4428 Adjala-Tecumseth Townline,Alliston,Ontario,L9R1V4,705-434-2227,705-435-0126,Central Region,info@allistonccs.com,www.allistonccs.com,Elementary,Not applicable,Site based only,EDVance
99,Alpha Quality Education Inc,882302,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marta kouchaki,200/210,,6120 A Yonge St,North York,Ontario,M2M3W7,416-661-4446,866-724-9709,Central Region,info@alphahighschools.com,www.alphahighschools.com,Secondary,All Year Round,Online/Site Based,No Association Membership
100,Alpha Star High School,668857,Offers credits toward the Ontario Secondary School Diploma (OSSD),Azin Seyedghandi,203,,10670 Yonge Street,Richmond Hill,Ontario,L4C3C9,905-237-8177,905-237-0518,Central Region,azin.ghandi@alphahighschools.com,www.alphahighschools.com,Secondary,All Year Round,Online/Site Based,No Association Membership
101,Amairah Private School (APS),882017,Offers credits toward the Ontario Secondary School Diploma (OSSD),AMAN SINGLA,"B6, 7, 8",,1625 Albion Road,Etobicoke,Ontario,M9V5H8,866-262-4724,416-907-1699,Central Region,info@apseducation.com,www.apseducation.com,Secondary,All Year Round,Online/Site Based,No Association Membership
102,Amanah Academy North America Foundation,882652,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wali Kazi,,,4140 Finch Ave E,Scarborough,Ontario,M1S3T9,416-750-3939,,East Region,admin@amanahacademy.com,www.amanahacademy.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
